GEO,quarter,VALUE
Northwest Territories,2022-Q2,54
Northwest Territories,2022-Q3,583
Northwest Territories,2022-Q4,70
Northwest Territories,2023-Q1,45
Northwest Territories,2023-Q2,280
Northwest Territories,2023-Q3,431
Northwest Territories,2023-Q4,84
Northwest Territories,2024-Q1,5250
Northwest Territories,2024-Q2,0
Nova Scotia,2010-Q1,788780
Nova Scotia,2010-Q2,830609
Nova Scotia,2010-Q3,828953
Nova Scotia,2010-Q4,878923
Nova Scotia,2011-Q1,913414
Nova Scotia,2011-Q2,944123
Nova Scotia,2011-Q3,949963
Nova Scotia,2011-Q4,924741
Nova Scotia,2012-Q1,945450
Nova Scotia,2012-Q2,884875
Nova Scotia,2012-Q3,857451
Nova Scotia,2012-Q4,892456
Nova Scotia,2013-Q1,887146
Nova Scotia,2013-Q2,836519
Nova Scotia,2013-Q3,819418
Nova Scotia,2013-Q4,823835
Nova Scotia,2014-Q1,839667
Nova Scotia,2014-Q2,907690
Nova Scotia,2014-Q3,934750
Nova Scotia,2014-Q4,902778
Nova Scotia,2015-Q1,889693
Nova Scotia,2015-Q2,845317
Nova Scotia,2015-Q3,863576
Nova Scotia,2015-Q4,820359
Nova Scotia,2016-Q1,744048
Nova Scotia,2016-Q2,834879
Nova Scotia,2016-Q3,811872
Nova Scotia,2016-Q4,910910
Nova Scotia,2017-Q1,906683
Nova Scotia,2017-Q2,869729
Nova Scotia,2017-Q3,867987
Nova Scotia,2017-Q4,863355
Nova Scotia,2018-Q1,860080
Nova Scotia,2018-Q2,993615
Nova Scotia,2018-Q3,1022714
Nova Scotia,2018-Q4,911845
Nova Scotia,2019-Q1,896664
Nova Scotia,2019-Q2,835565
Nova Scotia,2019-Q3,767362
Nova Scotia,2019-Q4,753484
Nova Scotia,2020-Q1,505800
Nova Scotia,2020-Q2,14978
Nova Scotia,2020-Q3,12204
Nova Scotia,2020-Q4,12656
Nova Scotia,2021-Q1,18859
Nova Scotia,2021-Q2,17563
Nova Scotia,2021-Q3,22425
Nova Scotia,2021-Q4,50889
Nova Scotia,2022-Q1,125774
Nova Scotia,2022-Q2,472251
Nova Scotia,2022-Q3,683553
Nova Scotia,2022-Q4,796587
Nova Scotia,2023-Q1,818564
Nova Scotia,2023-Q2,639912
Nova Scotia,2023-Q3,637947
Nova Scotia,2023-Q4,776606
Nova Scotia,2024-Q1,932369
Nova Scotia,2024-Q2,469922
Nunavut,2010-Q1,4312
Nunavut,2010-Q2,5305
Nunavut,2010-Q3,3074
Nunavut,2010-Q4,3770
